Report generated on: 09-09-2022 22:28:53
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.81-1-AUT-MT.A","        Biomass-based diesel (Mmt)","","","","","","","","","","","","","","","","","","","","","19.34783818374047","21.3260252629236","22.849312781703855","23.35707528796394","24.4393745478827","26.911412831784542","131.00272661510212","257.94335318012355","248.97612820655502","295.70433058816985","307.2008353736576","274.6083725168327","171.666998","167.898157","243.619832","313.355701","300","247.188","231.614","262.414769"
"INTL.79-2-AUT-MT.A","    Consumption (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.34783818374047","21.3260252629236","22.849312781703855","23.35707528796394","24.4393745478827","61.94702576373045","318.36709142507374","408.2265061462025","504.0095805613467","664.8008533211895","645.6718239364052","648.1769994881918","571.945454","572.036833","666.43547","725.8001220000001","664","590.871","583.873","80.07145"
"INTL.80-2-AUT-MT.A","        Fuel ethanol (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.834763894797426","82.43036961037011","119.5949751007232","121.66873701859313","120.13501726683516","107.688328","92.137787","87.709046","83.4468","87","85.226","88.206","w"
"INTL.81-2-AUT-MT.A","        Biomass-based diesel (Mmt)","","","","","","","","","","","","","","","","","","","","","19.34783818374047","21.3260252629236","22.849312781703855","23.35707528796394","24.4393745478827","61.94702576373045","318.36709142507374","385.39174225140505","421.5792109509766","545.2058782204663","524.0030869178121","528.0419822213566","464.257126","479.899046","578.726424","642.353322","577","505.645","495.667","0"
"","Azerbaijan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-AZE-MT.A","    Production (Mmt)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-1-AZE-MT.A","        Fuel ethanol (Mmt)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-1-AZE-MT.A","        Biomass-based diesel (Mmt)","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.79-2-AZE-MT.A","    Consumption (Mmt)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-2-AZE-MT.A","        Fuel ethanol (Mmt)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-2-AZE-MT.A","        Biomass-based diesel (Mmt)","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Bahrain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-BHR-MT.A","    Production (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-1-BHR-MT.A","        Fuel ethanol (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-1-BHR-MT.A","        Biomass-based diesel (Mmt)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.79-2-BHR-MT.A","    Consumption (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-2-BHR-MT.A","        Fuel ethanol (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-2-BHR-MT.A","        Biomass-based diesel (Mmt)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Bangladesh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-BGD-MT.A","    Production (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.80-1-BGD-MT.A","        Fuel ethanol (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.81-1-BGD-MT.A","        Biomass-based diesel (Mmt)","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.79-2-BGD-MT.A","    Consumption (Mmt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
